ID;Title;AgentTypeID;Address;INN;KPP;DirectorName;Phone;Email;Logo;Priority;;;;;;;;;;
;ДизайнФинансМикро;5;775051, Иркутская область, город Серебряные Пруды, спуск Домодедовская, 41;2700182907;141912770;Кузьма Борисович Королёва;4952236797;varvara15@belousov.ru;отсутствует;Приоритет = 462;;varvara15@belousov.ru;varvara15@belousov.ru;;ОАО;5;;;;5
;Креп;3;336489, Калининградская область, город Можайск, наб. Славы, 35;4880732317;258673591;Назар Алексеевич Григорьева;4953152586;savina.dominika@belousova.com;\agents\agent_64.png;371 в приоритете на поставку;;savina.dominika@belousova.com;savina.dominika@belousova.com;;ЗАО;3;;;;3
;ЖелДорДизайнМетизТраст;6;170549, Сахалинская область, город Видное, проезд Космонавтов, 89;7669116841;906390137;Игорь Львович Агафонова;88006927218;lnikitina@kulikova.com;нет;290 в приоритете на поставку;;lnikitina@kulikova.com;lnikitina@kulikova.com;;ПАО;6;;;;6
;Асбоцемент;2;030119, Курганская область, город Дмитров, пер. Славы, 47;1261407459;745921890;Никитинаа Антонина Андреевна;8121522878;antonin19@panfilov.ru;\agents\agent_59.png;273;;antonin19@panfilov.ru;antonin19@panfilov.ru;;ООО;2;;;;2
;Мобайл;6;273144, Калужская область, город Наро-Фоминск, бульвар Чехова, 70;3655195522;395816585;Горшков Кузьма Фёдорович;4955325442;rafail22@orlov.ru;\agents\agent_53.png;40;;rafail22@orlov.ru;rafail22@orlov.ru;;ПАО;6;;;;6
;ТекстильУралАвтоОпт;3;028936, Магаданская область, город Видное, ул. Гагарина, 54;3930950057;678529397;Алина Сергеевна Дьячковаа;4954186755;hkononova@pavlova.ru;\agents\agent_97.png;176;;hkononova@pavlova.ru;hkononova@pavlova.ru;;ЗАО;3;;;;3
;Башкир;1;513065, Рязанская область, город Одинцово, шоссе Славы, 93;3105334340;117513650;Одинцова Розалина Дмитриевна;88006566399;iskra.sergeev@zykov.com;\agents\agent_33.png;35 в приоритете на поставку;;iskra.sergeev@zykov.com;iskra.sergeev@zykov.com;;МФО;1;;;;1
;ГорДор;4;376483, Калужская область, город Сергиев Посад, ул. Славы, 09;7088187045;440309946;Нонна Львовна Одинцоваа;8123644664;maiy12@koklov.net;\agents\agent_77.png;Приоритет = 175;;maiy12@koklov.net;maiy12@koklov.net;;МКК;4;;;;4
;Компания Рос;2;479740, Оренбургская область, город Наро-Фоминск, наб. Будапештсткая, 36;5502989807;518320454;Алёна Ивановна Тимофеева;35222329994;odenisov@knyzeva.ru;нет;Приоритет = 252;;odenisov@knyzeva.ru;odenisov@knyzeva.ru;;ООО;2;;;;2
;КазЮпитерТомск;5;393450, Тульская область, город Кашира, пр. 1905 года, 47;9201745524;510248846;Рафаил Андреевич Копылов;35222248554;tgavrilov@frolov.ru;\agents\agent_85.png;244 в приоритете на поставку;;tgavrilov@frolov.ru;tgavrilov@frolov.ru;;ОАО;5;;;;5
;СеверГаз;6;509479, Орловская область, город Павловский Посад, спуск Бухарестская, 28;7908427926;249521550;Валериан Андреевич Кириллова;8129738881;smukina@evseev.com;\agents\agent_15.png;Приоритет = 83;;smukina@evseev.com;smukina@evseev.com;;ПАО;6;;;;6
;Компания КазАлмаз;2;848810, Кемеровская область, город Лотошино, пер. Ломоносова, 90;3084797352;123190924;Марк Фёдорович Муравьёва;79226922157;irina.gusina@vlasova.ru;\agents\agent_105.png;396;;irina.gusina@vlasova.ru;irina.gusina@vlasova.ru;;ООО;2;;;;2
;ЦементАсбоцементОрионТраст;5;221534, Орловская область, город Серебряные Пруды, проезд Гагарина, 54;2972154471;668972219;Павлова Марк Александрович;4959793666;igulyeva@kostina.ru;\agents\agent_28.png;441;;igulyeva@kostina.ru;igulyeva@kostina.ru;;ОАО;5;;;;5
;Компания Электро;2;183744, Рязанская область, город Клин, въезд Косиора, 29;4335399269;780051451;Кабанов Кирилл Максимович;35222639283;blokin.sofiy@terentev.ru;\agents\agent_41.png;340;;blokin.sofiy@terentev.ru;blokin.sofiy@terentev.ru;;ООО;2;;;;2
;БашкирЮпитерТомск;3;035268, Сахалинская область, город Волоколамск, проезд Ладыгина, 51;1606315697;217799345;Фадеева Раиса Александровна;8123959175;dyckov.veniamin@kotova.ru;\agents\agent_84.png;Приоритет = 139;;dyckov.veniamin@kotova.ru;dyckov.veniamin@kotova.ru;;ЗАО;3;;;;3
;ОрионВектор;3;138159, Свердловская область, город Подольск, спуск Балканская, 72;5687675108;816451597;Алексей Борисович Семёнова;79224565929;subbotin.rostislav@zueva.org;\agents\agent_22.png;496;;subbotin.rostislav@zueva.org;subbotin.rostislav@zueva.org;;ЗАО;3;;;;3
;Рос;1;412597, Калужская область, город Клин, пр. Гагарина, 57;6729448041;935241906;Никифороваа Рената Сергеевна;79228228876;potapov.abram@trofimova.org;\agents\agent_36.png;Приоритет = 158;;potapov.abram@trofimova.org;potapov.abram@trofimova.org;;МФО;1;;;;1
;ДизайнВосток;4;680394, Оренбургская область, город Павловский Посад, спуск Косиора, 50;6222265808;245694799;Добрыня Сергеевич Кабанов;79227678415;efimova.timofei@tretykova.ru;\agents\agent_17.png;188 в приоритете на поставку;;efimova.timofei@tretykova.ru;efimova.timofei@tretykova.ru;;МКК;4;;;;4
;РемГаражЛифт;5;048715, Ивановская область, город Люберцы, проезд Космонавтов, 89;1656477206;988968838;Филатов Владимир Максимович;35222188561;novikova.gleb@sestakov.ru;\agents\agent_90.png;374;;novikova.gleb@sestakov.ru;novikova.gleb@sestakov.ru;;ОАО;5;;;;5
;ПивГлав;2;244290, Астраханская область, город Талдом, проезд Космонавтов, 17;3090235456;870818930;Клим Иванович Юдин;88001537446;sofiy.bolsakov@isakova.ru;\agents\agent_27.png;329;;sofiy.bolsakov@isakova.ru;sofiy.bolsakov@isakova.ru;;ООО;2;;;;2
;Компания Гараж;2;395101, Белгородская область, город Балашиха, бульвар 1905 года, 00;6190244524;399106161;Владлена Фёдоровна Ларионоваа;35222224712;asiryeva@andreeva.com;\agents\agent_91.png;413;;asiryeva@andreeva.com;asiryeva@andreeva.com;;ООО;2;;;;2
;Монтаж;1;066594, Магаданская область, город Шаховская, спуск Сталина, 59;6142194281;154457435;Блохина Сергей Максимович;4957833697;zakar.sazonova@gavrilov.ru;\agents\agent_66.png;300 в приоритете на поставку;;zakar.sazonova@gavrilov.ru;zakar.sazonova@gavrilov.ru;;МФО;1;;;;1
;ВодГараж;5;988899, Саратовская область, город Раменское, пр. Славы, 40;5575072431;684290320;Лаврентий Фёдорович Логинова;35222117566;pmaslov@fomiceva.com;\agents\agent_92.png;250;;pmaslov@fomiceva.com;pmaslov@fomiceva.com;;ОАО;5;;;;5
;Компания Метал;2;908229, Иркутская область, город Истра, бульвар Бухарестская, 97;9933367989;856443865;Валентина Ивановна Громова;35222993928;vasileva.tatyna@lebedeva.net;\agents\agent_16.png;167;;vasileva.tatyna@lebedeva.net;vasileva.tatyna@lebedeva.net;;ООО;2;;;;2
;Бум;1;409600, Новгородская область, город Ногинск, пл. Гагарина, 68;1953785418;122905583;Татьяна Сергеевна Королёваа;79222828291;belova.vikentii@konstantinova.net;\agents\agent_103.png;82 в приоритете на поставку;;belova.vikentii@konstantinova.net;belova.vikentii@konstantinova.net;;МФО;1;;;;1
;Гор;6;245009, Белгородская область, город Коломна, шоссе Домодедовская, 93;6196739969;784512010;Адриан Александрович Одинцов;8123275223;rostislav.savelev@dmitrieva.ru;\agents\agent_46.png;85;;rostislav.savelev@dmitrieva.ru;rostislav.savelev@dmitrieva.ru;;ПАО;6;;;;6
;МясРеч;3;903648, Калужская область, город Воскресенск, пр. Будапештсткая, 91;9254261217;656363498;Белоусоваа Ирина Максимовна;8122567495;bkozlov@volkov.ru;\agents\agent_83.png;355;;bkozlov@volkov.ru;bkozlov@volkov.ru;;ЗАО;3;;;;3
;МясТрансМоторЛизинг;5;765320, Ивановская область, город Шатура, спуск Гоголя, 88;6148685143;196332656;Тамара Дмитриевна Семёноваа;4954897557;vlad.sokolov@andreev.org;\agents\agent_87.png;268;;vlad.sokolov@andreev.org;vlad.sokolov@andreev.org;;ОАО;5;;;;5
;Компания ТелекомХмельГаражПром;2;126668, Ростовская область, город Зарайск, наб. Гагарина, 69;1614623826;824882264;Костина Татьяна Борисовна;88006171337;qkolesnikova@kalinina.ru;\agents\agent_96.png;457 в приоритете на поставку;;qkolesnikova@kalinina.ru;qkolesnikova@kalinina.ru;;ООО;2;;;;2
;МетизТехАвтоПроф;2;713016, Брянская область, город Подольск, пл. Домодедовская, 93;2988890076;215491048;Егор Фёдорович Третьякова;88001927477;anastasiy.gromov@samsonova.com;\agents\agent_58.png;321;;anastasiy.gromov@samsonova.com;anastasiy.gromov@samsonova.com;;ООО;2;;;;2
;РосАвтоМонтаж;2;331914, Курская область, город Ногинск, спуск Ладыгина, 66;4735043946;263682488;Диана Алексеевна Исаковаа;88004689151;lapin.inessa@isaeva.com;\agents\agent_80.png;10;;lapin.inessa@isaeva.com;lapin.inessa@isaeva.com;;ООО;2;;;;2
;Компания КрепГаз;2;415525, Воронежская область, город Орехово-Зуево, спуск Ленина, 14;2910821636;169856199;Эмилия Фёдоровна Шилова;88009716232;iturova@isakova.ru;\agents\agent_48.png;50;;iturova@isakova.ru;iturova@isakova.ru;;ООО;2;;;;2
;БухТеле;3;481781, Астраханская область, город Орехово-Зуево, спуск Ломоносова, 67;3547826061;581933218;Клавдия Романовна Савина;35222897868;vasilev.svetlana@saskov.org;\agents\agent_18.png;171;;vasilev.svetlana@saskov.org;vasilev.svetlana@saskov.org;;ЗАО;3;;;;3
;ТяжМяж;6;255489, Самарская область, город Озёры, ул. Ломоносова, 09;6391522710;209038885;Юлия Львовна Горбунова;8124252846;bzykov@baranov.com;\agents\agent_55.png;472;;bzykov@baranov.com;bzykov@baranov.com;;ПАО;6;;;;6
;Тех;5;731935, Калининградская область, город Павловский Посад, наб. Гагарина, 59;9282924869;587356429;Аким Романович Логинова;79221139449;vasilisa99@belyev.ru;\agents\agent_86.png;Приоритет = 278;;vasilisa99@belyev.ru;vasilisa99@belyev.ru;;ОАО;5;;;;5
;ГлавITФлотПроф;1;447811, Мурманская область, город Егорьевск, ул. Ленина, 24;2561361494;525678825;Зыкова Стефан Максимович;35222334816;savva.rybov@kolobov.ru;\agents\agent_89.png;62 в приоритете на поставку;;savva.rybov@kolobov.ru;savva.rybov@kolobov.ru;;МФО;1;;;;1
;Восток;1;284236, Воронежская область, город Павловский Посад, бульвар Ленина, 28;8929775900;788028687;Савинаа Нина Александровна;4952276648;nsitnikova@tikonova.org;не указано;380;;nsitnikova@tikonova.org;nsitnikova@tikonova.org;;МФО;1;;;;1
;ТелекомЮпитер;4;959793, Курская область, город Егорьевск, бульвар Ленина, 72;9383182378;944520594;Калинина Татьяна Ивановна;8127983353;kulikov.adrian@zuravlev.org;\agents\agent_106.png;302;;kulikov.adrian@zuravlev.org;kulikov.adrian@zuravlev.org;;МКК;4;;;;4
;МонтажВекторМобайлЦентр;3;094869, Ленинградская область, город Ступино, наб. Ленина, 80;4433392652;757806909;Захар Александрович Панова;4955669862;pavel.davydova@tretykov.net;\agents\agent_32.png;372 в приоритете на поставку;;pavel.davydova@tretykov.net;pavel.davydova@tretykov.net;;ЗАО;3;;;;3
;ВостокГлав;2;217022, Ростовская область, город Озёры, ул. Домодедовская, 19;3580946305;405017349;Инга Фёдоровна Дмитриева;79223293428;gordei95@kirillov.ru;\agents\agent_88.png;Приоритет = 107;;gordei95@kirillov.ru;gordei95@kirillov.ru;;ООО;2;;;;2
;Компания КрепЦемент;2;423477, Мурманская область, город Кашира, бульвар Домодедовская, 61;3025099903;606083992;Екатерина Львовна Суворова;88006287967;rusakov.efim@nikiforov.ru;\agents\agent_75.png;Приоритет = 426;;rusakov.efim@nikiforov.ru;rusakov.efim@nikiforov.ru;;ООО;2;;;;2
;ЖелДор;3;860124, Иркутская область, город Егорьевск, пер. Гагарина, 67;9392505809;911026119;Симоноваа Лариса Борисовна;35222265564;karitonova.fedosy@vasileva.net;\agents\agent_51.png;429;;karitonova.fedosy@vasileva.net;karitonova.fedosy@vasileva.net;;ЗАО;3;;;;3
;Компания Хмель;2;889757, Новосибирская область, город Раменское, бульвар 1905 года, 93;9004087602;297273898;Владимир Борисович Суворова;35222271966;ermakov.mark@isakova.ru;\agents\agent_67.png;2 в приоритете на поставку;;ermakov.mark@isakova.ru;ermakov.mark@isakova.ru;;ООО;2;;;;2
;Цемент;2;084315, Амурская область, город Шаховская, наб. Чехова, 62;9662118663;650216214;Анфиса Фёдоровна Буроваа;79228591997;panova.klementina@bobrov.ru;\agents\agent_79.png;340 в приоритете на поставку;;panova.klementina@bobrov.ru;panova.klementina@bobrov.ru;;ООО;2;;;;2
;ЛенМобайлМикро;1;737175, Ростовская область, город Одинцово, ул. Космонавтов, 99;6729041572;828657559;Изабелла Евгеньевна Дьячкова;35222963497;frolov.artem@zuravlev.ru;\agents\agent_52.png;341;;frolov.artem@zuravlev.ru;frolov.artem@zuravlev.ru;;МФО;1;;;;1
;Компания ТверьДизайн;2;672492, Калининградская область, город Москва, проезд Сталина, 64;3567301661;623881311;Доминика Александровна Никитинаа;88002349322;ypotapov@kolesnikova.ru;\agents\agent_37.png;Приоритет = 271;;ypotapov@kolesnikova.ru;ypotapov@kolesnikova.ru;;ООО;2;;;;2
;ВодТверьХозМашина;3;145030, Сахалинская область, город Шатура, въезд Гоголя, 79;4174253174;522227145;Александра Дмитриевна Ждановаа;4957563672;tkrylov@baranova.net;\agents\agent_81.png;Приоритет = 8;;tkrylov@baranova.net;tkrylov@baranova.net;;ЗАО;3;;;;3
;ТелеГлавВекторСбыт;3;062489, Челябинская область, город Пушкино, въезд Бухарестская, 07;9504787157;419758597;Екатерина Фёдоровна Ковалёва;79226199152;nsitnikov@kovaleva.ru;\agents\agent_56.png;185 в приоритете на поставку;;nsitnikov@kovaleva.ru;nsitnikov@kovaleva.ru;;ЗАО;3;;;;3
;БашкирИнжКрепСбыт;2;191420, Новосибирская область, город Ногинск, пер. Будапештсткая, 28;6771467761;977595370;Алиса Фёдоровна Архипова;79224954618;vlad.molcanov@fomicev.ru;\agents\agent_24.png;Приоритет = 475;;vlad.molcanov@fomicev.ru;vlad.molcanov@fomicev.ru;;ООО;2;;;;2
;ТрансТверь;4;818676, Томская область, город Павловский Посад, ул. Ладыгина, 27;3311036393;590018934;Алина Романовна Овчинникова;35222227412;dorofeev.milan@vorobeva.net;\agents\agent_25.png;495;;dorofeev.milan@vorobeva.net;dorofeev.milan@vorobeva.net;;МКК;4;;;;4
;ТелеСеверМикро;4;046300, Орловская область, город Ступино, бульвар Бухарестская, 13;9534974527;344691556;Селезнёв Василий Евгеньевич;35222662665;koseleva.ylii@potapov.ru;\agents\agent_12.png;254 в приоритете на поставку;;koseleva.ylii@potapov.ru;koseleva.ylii@potapov.ru;;МКК;4;;;;4
;CибПивОмскСнаб;3;816260, Ивановская область, город Москва, ул. Гагарина, 31;5676173945;256512286;Людмила Александровна Сафонова;8127434987;evorontova@potapova.ru;не указано;477 в приоритете на поставку;;evorontova@potapova.ru;evorontova@potapova.ru;;ЗАО;3;;;;3
;ЛенБухМикро-H;1;078797, Мурманская область, город Коломна, пр. Гоголя, 94;5943902570;103426359;Субботин Герасим Владимирович;8124215975;rybov.tatyna@merkuseva.com;\agents\agent_30.png;Приоритет = 242;;rybov.tatyna@merkuseva.com;rybov.tatyna@merkuseva.com;;МФО;1;;;;1
;ЮпитерЛенГараж-М;4;339507, Московская область, город Видное, ул. Космонавтов, 11;2038393690;259672761;Васильева Валерия Борисовна;8122293418;larkipova@gorbunov.ru;\agents\agent_73.png;Приоритет = 470;;larkipova@gorbunov.ru;larkipova@gorbunov.ru;;МКК;4;;;;4
;МорВостокТомскПром;5;034623, Белгородская область, город Павловский Посад, проезд Ломоносова, 72;4082127026;544686044;Гавриил Евгеньевич Селиверстов;79222589616;lev.efremov@frolov.ru;\agents\agent_20.png;Приоритет = 198;;lev.efremov@frolov.ru;lev.efremov@frolov.ru;;ОАО;5;;;;5
;Компания ФинансСервис;2;841700, Брянская область, город Серпухов, спуск Домодедовская, 35;7491491391;673621812;Клавдия Сергеевна Виноградова;88003585499;robert.serbakov@safonova.ru;\agents\agent_63.png;Приоритет = 395;;robert.serbakov@safonova.ru;robert.serbakov@safonova.ru;;ООО;2;;;;2
;Метиз;2;455463, Ярославская область, город Серпухов, пер. Бухарестская, 01;4433116074;949226221;Ян Иванович Егоров;35222817892;mersova@rodionova.ru;\agents\agent_54.png;Приоритет = 168;;mersova@rodionova.ru;mersova@rodionova.ru;;ООО;2;;;;2
;ФлотБух;4;741647, Ульяновская область, город Наро-Фоминск, ул. 1905 года, 11;4868711532;409331823;Муравьёваа Мария Дмитриевна;79221557521;tkuznetova@sukanova.ru;\agents\agent_21.png;Приоритет = 385;;tkuznetova@sukanova.ru;tkuznetova@sukanova.ru;;МКК;4;;;;4
;КазХоз;5;384162, Астраханская область, город Одинцово, бульвар Гагарина, 57;6503377671;232279972;Степанова Роман Иванович;88009554452;istrelkova@fomin.ru;не указано;213 в приоритете на поставку;;istrelkova@fomin.ru;istrelkova@fomin.ru;;ОАО;5;;;;5
;Орион;6;951035, Ивановская область, город Ступино, шоссе Космонавтов, 73;2670166502;716874456;Мартынов Михаил Борисович;35222587796;aleksei63@kiselev.ru;\agents\agent_102.png;166;;aleksei63@kiselev.ru;aleksei63@kiselev.ru;;ПАО;6;;;;6
;РечИнж;5;862241, Кемеровская область, город Москва, пер. Славы, 63;9289300952;534867576;Донат Иванович Кудрявцев;8129714798;qloginova@antonov.com;\agents\agent_8.png;426;;qloginova@antonov.com;qloginova@antonov.com;;ОАО;5;;;;5
;РосПивТверь;5;053965, Магаданская область, город Видное, наб. Балканская, 41;2857470864;732899890;Люся Фёдоровна Горшковаа;79226927372;vitalii.melnikov@kopylov.com;\agents\agent_11.png;368;;vitalii.melnikov@kopylov.com;vitalii.melnikov@kopylov.com;;ОАО;5;;;;5
;КрепТелекомТекстильМашина;1;754514, Тверская область, город Люберцы, пл. Домодедовская, 84;7626613684;187506967;Богданов Денис Максимович;79222785495;ignatov.adam@kononova.org;\agents\agent_39.png;259;;ignatov.adam@kononova.org;ignatov.adam@kononova.org;;МФО;1;;;;1
;МорГлавМонтажЭкспедиция;5;313619, Читинская область, город Чехов, ул. Ленина, 38;8619846965;796144573;Анастасия Львовна Субботинаа;8121619649;flukin@moiseeva.com;\agents\agent_34.png;329;;flukin@moiseeva.com;flukin@moiseeva.com;;ОАО;5;;;;5
;ТекстильУралВод;6;872673, Ярославская область, город Видное, спуск Славы, 04;8336124514;871193263;Эльвира Фёдоровна Герасимова;4956146793;obespalov@alekseev.org;\agents\agent_9.png;28 в приоритете на поставку;;obespalov@alekseev.org;obespalov@alekseev.org;;ПАО;6;;;;6
;Газ;1;252821, Тамбовская область, город Пушкино, ул. Чехова, 40;8876413796;955381891;Терентьев Илларион Максимович;88002787832;ulyna.antonov@noskov.ru;\agents\agent_101.png;170;;ulyna.antonov@noskov.ru;ulyna.antonov@noskov.ru;;МФО;1;;;;1
;ТомскТранс;2;271624, Свердловская область, город Озёры, ул. Косиора, 21;6523850838;970092830;Архипова Юрий Дмитриевич;35222662246;antonina.krasilnikov@nikonov.ru;\agents\agent_47.png;427 в приоритете на поставку;;antonina.krasilnikov@nikonov.ru;antonina.krasilnikov@nikonov.ru;;ООО;2;;;;2
;Компания ТехТеле;2;285256, Магаданская область, город Дмитров, шоссе Ладыгина, 20;1553744119;713327632;Тихонова Валериан Владимирович;88009433645;anfisa63@sobolev.ru;\agents\agent_42.png;465;;anfisa63@sobolev.ru;anfisa63@sobolev.ru;;ООО;2;;;;2
;СофтИнжIT;5;146295, Тверская область, город Одинцово, въезд Бухарестская, 78;2368693812;791368408;Виктор Львович Михайлова;88003192745;yliy.efimov@zdanova.ru;\agents\agent_50.png;460;;yliy.efimov@zdanova.ru;yliy.efimov@zdanova.ru;;ОАО;5;;;;5
;Компания Монтаж;2;036381, Брянская область, город Кашира, бульвар Гагарина, 76;6206428565;118570048;Силин Даниил Иванович;4956268613;afanasev.anastasiy@muravev.ru;\agents\agent_100.png;124 в приоритете на поставку;;afanasev.anastasiy@muravev.ru;afanasev.anastasiy@muravev.ru;;ООО;2;;;;2
;СтройГорНефть;5;444539, Ульяновская область, город Лотошино, спуск Будапештсткая, 95;5916775587;398299418;Тарасова Макар Максимович;4958528284;lysy.kolesnikova@molcanova.com;\agents\agent_62.png;161;;lysy.kolesnikova@molcanova.com;lysy.kolesnikova@molcanova.com;;ОАО;5;;;;5
;ЦементХмельОрионНаладка;5;014379, Кировская область, город Озёры, пр. Будапештсткая, 28;2118874929;482607758;Максим Евгеньевич Гурьева;79224191419;daniil.selezneva@safonova.com;\agents\agent_49.png;61 в приоритете на поставку;;daniil.selezneva@safonova.com;daniil.selezneva@safonova.com;;ОАО;5;;;;5
;Компания ОрионСтройЛифт;2;819305, Воронежская область, город Талдом, шоссе Ломоносова, 36;8834229587;958311664;Щукина Искра Максимовна;88003815997;artemii.abramova@arkipov.ru;отсутствует;467;;artemii.abramova@arkipov.ru;artemii.abramova@arkipov.ru;;ООО;2;;;;2
;Тяж;1;650482, Смоленская область, город Коломна, проезд Косиора, 95;5484904441;943388774;Белов Влад Александрович;79225477752;rodionova.ulyna@noskov.ru;\agents\agent_35.png;207 в приоритете на поставку;;rodionova.ulyna@noskov.ru;rodionova.ulyna@noskov.ru;;МФО;1;;;;1
;ЦементАсбоцемент;3;619540, Курская область, город Раменское, пл. Балканская, 12;4345774724;352469905;Воронова Мария Александровна;79221336896;polykov.veronika@artemeva.ru;\agents\agent_76.png;426;;polykov.veronika@artemeva.ru;polykov.veronika@artemeva.ru;;ЗАО;3;;;;3
;ГазДизайнЖелДор;4;695230, Курская область, город Красногорск, пр. Гоголя, 64;2396029740;458924890;Лев Иванович Третьяков;35222398891;elizaveta.komarov@rybakov.net;\agents\agent_74.png;236;;elizaveta.komarov@rybakov.net;elizaveta.komarov@rybakov.net;;МКК;4;;;;4
;РемСантехОмскБанк;5;289468, Омская область, город Видное, пер. Балканская, 33;6823050572;176488617;Фокина Искра Максимовна;35222761556;anisimov.mark@vorobev.ru;\agents\agent_82.png;Приоритет = 442;;anisimov.mark@vorobev.ru;anisimov.mark@vorobev.ru;;ОАО;5;;;;5
;Мясо;1;252821, Тамбовская область, город Пушкино, ул. Чехова, 40;1876413796;955381891;Терентьев Илларион Максимович;79223155142;ulyna.antonov@noskov.ru;\agents\agent_107.png;170 в приоритете на поставку;;ulyna.antonov@noskov.ru;ulyna.antonov@noskov.ru;;МФО;1;;;;1
;КрепГаражСантехМаш;6;207204, Пензенская область, город Одинцово, пер. Гагарина, 80;7574946061;146206755;Аркадий Романович Тихонов;4951723191;vladlen84@ersova.net;\agents\agent_10.png;330;;vladlen84@ersova.net;vladlen84@ersova.net;;ПАО;6;;;;6
;ИнжITЖелДор-H;1;019291, Вологодская область, город Клин, ул. Космонавтов, 96;8103088511;604606043;Колесникова Август Владимирович;4953241882;karitonov.aleksandra@samoilov.com;\agents\agent_14.png;129 в приоритете на поставку;;karitonov.aleksandra@samoilov.com;karitonov.aleksandra@samoilov.com;;МФО;1;;;;1
;Рем;3;707812, Иркутская область, город Шаховская, ул. Гагарина, 17;3203830728;456254820;Шароваа Елизавета Львовна;35222466969;zanna25@nikiforova.com;\agents\agent_104.png;329 в приоритете на поставку;;zanna25@nikiforova.com;zanna25@nikiforova.com;;ЗАО;3;;;;3
;ФинансТелеТверь;6;687171, Томская область, город Лотошино, пл. Славы, 59;2646091050;971874277;Зайцеваа Дарья Сергеевна;4958395856;medvedev.klim@afanasev.com;\agents\agent_70.png;100 в приоритете на поставку;;medvedev.klim@afanasev.com;medvedev.klim@afanasev.com;;ПАО;6;;;;6
;Строй;1;763019, Омская область, город Шатура, пл. Сталина, 56;6678884759;279288618;Кудрявцев Адриан Андреевич;79221295713;soloveva.adam@andreev.ru;\agents\agent_57.png;12;;soloveva.adam@andreev.ru;soloveva.adam@andreev.ru;;МФО;1;;;;1
;ЭлектроITITСбыт;3;855489, Вологодская область, город Серебряные Пруды, пл. Ломоносова, 57;1532104861;112607081;Якушеваа Варвара Романовна;8123261527;eliseeva.sofy@gorskov.net;\agents\agent_23.png;452;;eliseeva.sofy@gorskov.net;eliseeva.sofy@gorskov.net;;ЗАО;3;;;;3
